,,,,,,,,,,,,,,,,txtTitle,,,,,,
,,,,,,,,,,,,,,,,ระบบการเงิน,,,,,,
repName,repCode,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,PAYCODE,Text90,RECEIVEDATETIME,CR,Text97,Text116,Text119,Text122,Text99,CREATEUSERID,Text95,,,,,,,
,,,,,,,,,,,,,,,,,,401220: บริษัท ไบโอฟาร์ม เคมิคัลส์ จำกัด,10244715,,,
,,2019-11-06,03TT630095,บริษัท ไบโอฟาร์ม เคมิคัลส์ จำกัด,036300072,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ 110877433 เลขที่ 71,"26,482.50",247.5,0.00,0.00,0.00,26235,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401220: บริษัท ไบโอฟาร์ม เคมิคัลส์ จำกัด,10244717,,,
,,2019-11-06,03TT630096,บริษัท โปลิฟาร์ม จำกัด,036300186,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ IVB-62010573 เลขที่ 180,"2,420.00",0,0.00,0.00,0.00,2420,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401236: บริษัท โปลิฟาร์ม จำกัด,10244716,,,
,,2019-11-06,03TT630097,บริษัทบางกอกดรัก จำกัด,036300236,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ SI19-51322 เลขที่ 201,"30,000.00",280.37,0.00,0.00,0.00,29719.63,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401193: บริษัท  บางกอกดรัก จำกัด,10244719,,,
,,2019-11-06,03TT630098,บริษัท วี.แอนด์.วี. กรุงเทพฯ จำกัด,036300077,ค่าวัสดุ,ค่ายา 3 รายการ ตามใบแจ้งหนี้เลขที่ 62020270 เลขที่ 246,"34,668.00",324,0.00,0.00,0.00,34344,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401344: บริษัท วี.แอนด์.วี. กรุงเทพฯ จำกัด,10244720,,,
,,2019-11-06,03TT630099,บริษัท วี.แอนด์.วี. กรุงเทพฯ จำกัด,036300073,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ 62018996 เลขที่ 70,"5,350.00",50,0.00,0.00,0.00,5300,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401344: บริษัท วี.แอนด์.วี. กรุงเทพฯ จำกัด,10244721,,,
,,2019-11-06,03TT630100,ห้างหุ้นส่วนจำกัดภิญโญฟาร์มาซี,036300076,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ IV6229309 เลขที่ 250,"29,960.00",280,0.00,0.00,0.00,29680,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401658: ห้างหุ้นส่วนจำกัด  ภิญโญฟาร์มาซี,10244722,,,
,,,,,,,,,,,,,,,,txtTitle,,,,,,
,,,,,,,,,,,,,,,,ระบบการเงิน,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2019-11-06,03TT630101,บริษัทเอ.เอ็น.บี. ลาบอราตอรี่ (อำนวยเภสัช) จำกัด,036300080,ค่าวัสดุ,ค่ายา 2 รายการ ตามใบแจ้งหนี้เลขที่ 8370260178 เลขที่ 234,"55,854.00",522,0.00,0.00,0.00,55332,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401416: บริษัท  เอ.เอ็น.บี. ลาบอราตอรี่ (อำนวยเภสัช) จำกัด,10244723,,,
,,2019-11-06,03TT630102,บริษัทเอ.เอ็น.บี. ลาบอราตอรี่ (อำนวยเภสัช) จำกัด,036300078,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ 8370258463 เลขที่ 242,"87,740.00",820,0.00,0.00,0.00,86920,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401416: บริษัท  เอ.เอ็น.บี. ลาบอราตอรี่ (อำนวยเภสัช) จำกัด,10244724,,,
,,2019-11-06,03TT630103,บริษัทสยามฟาร์มาซูติคอล จำกัด,036300240,ค่าวัสดุ,ค่ายา 6 รายการ ตามใบแจ้งหนี้เลขที่ 1190809881 เลขที่ 211,"59,149.60",552.8,0.00,0.00,0.00,58596.8,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401361: บริษัท  สยามฟาร์มาซูติคอล จำกัด,10244725,,,
,,2019-11-06,03TT630104,บริษัทสยามฟาร์มาซูติคอล จำกัด,036300079,ค่าวัสดุ,ค่ายา 3 รายการ ตามใบแจ้งหนี้เลขที่ 1190900963 เลขที่ 237,"83,192.50",777.5,0.00,0.00,0.00,82415,,2019-11-06,,,,,,,
